ticker,company_name,sector,quantity,buy_price,current_price
JNJ,Johnson & Johnson,Healthcare,33,378.97,446.11
UNP,Union Pacific Corp,Industrials,28,98.45,120.39
GOOGL,Alphabet Inc,Technology,27,432.42,574.17
ABT,Abbott Laboratories,Healthcare,15,199.67,250.68
META,Meta Platforms Inc,Technology,51,227.47,334.0
NVDA,NVIDIA Corp,Technology,98,158.42,235.29
SBUX,Starbucks Corp,Consumer Discretionary,29,342.58,491.44
ABBV,AbbVie Inc,Healthcare,20,369.87,484.82
ORCL,Oracle Corp,Technology,20,476.09,675.94
EA,Electronic Arts Inc,Communication Services,12,121.29,139.42
EMR,Emerson Electric Co,Industrials,83,217.02,277.02
K,Kellogg Co,Consumer Staples,47,161.85,159.05
INTC,Intel Corp,Technology,20,216.51,319.58
CI,Cigna Group The,Healthcare,34,139.94,173.02
AES,AES Corp The,Utilities,73,144.87,175.28
TXN,Texas Instruments Inc,Technology,11,108.13,139.46
IPG,Interpublic Group of Cos Inc,Communication Services,26,161.99,187.27
SYK,Stryker Corp,Healthcare,9,157.16,180.3
BSX,Boston Scientific Corp,Healthcare,24,322.14,346.66
MCO,Moody's Corp,Financials,31,207.13,268.09
PG,Procter & Gamble Co,Consumer Staples,4,85.62,93.64
AMZN,Amazon.com Inc,Consumer Discretionary,21,361.17,480.03
HD,Home Depot Inc,Consumer Discretionary,3,337.24,443.08
CAT,Caterpillar Inc,Industrials,7,90.52,100.51
META2,Meta Platforms Inc,Technology,4,274.78,318.22
MPC,Marathon Petroleum Corp,Energy,50,94.25,102.36
GS,Goldman Sachs Group Inc,Financials,12,247.3,344.07
MS,Morgan Stanley,Financials,17,151.96,201.33
C,Citigroup Inc,Financials,19,66.68,90.44
BMY,Bristol-Myers Squibb Co,Healthcare,28,309.65,476.73
ADBE,Adobe Inc,Technology,43,390.73,492.6
GILD,Gilead Sciences Inc,Healthcare,25,284.63,316.33
SCHW,Charles Schwab Corp,Financials,51,234.97,390.59
AMD,AMD Inc,Technology,45,150.49,200.48
PGR,Progressive Corp The,Financials,13,286.86,357.58
TXN2,Texas Instruments Inc,Technology,25,248.39,306.14
SYY,Sysco Corp,Consumer Staples,43,112.95,177.74
AMAT,Applied Materials Inc,Technology,47,147.1,208.18
CME,CME Group Inc,Financials,6,199.09,263.69
LRCX,Lam Research Corp,Technology,73,498.9,647.36
GOOGL2,Alphabet Inc,Communication Services,23,215.0,281.14
UNH,UnitedHealth Group Inc,Healthcare,16,307.06,353.67
GOOGL3,Alphabet Inc,Technology,55,189.7,295.76
ABT2,Abbott Laboratories,Healthcare,39,238.09,340.1
GE,General Electric Co,Industrials,20,296.26,376.14
NVDA2,NVIDIA Corp,Technology,24,291.47,398.91
TSLA,Tesla Inc,Technology,11,150.13,208.69
TGT,Target Corp,Consumer Discretionary,90,235.9,366.38
LLY,Eli Lilly and Co,Healthcare,11,268.09,281.09
BMY2,Bristol-Myers Squibb Co,Healthcare,34,357.83,524.14
ADBE2,Adobe Inc,Technology,34,164.79,220.36
NFLX,Netflix Inc,Technology,78,131.54,180.72
HSY,Hershey Co The,Consumer Staples,6,178.75,162.73
